                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    124,                 2.3307,                 1.0013,                 2.5114,                0.95746,                0.89091,                0.92448,                0.46351,                 3.8182,                 1.2445,                 4.6613,              0.0017565,              0.0017565,              0.0017565
                    125,                 2.3844,                 1.0245,                 2.7178,                0.95278,                0.90909,                0.95893,                0.46285,                 3.9368,                 1.2329,                 4.7839,              0.0017545,              0.0017545,              0.0017545
                    126,                 2.3556,                 1.1043,                  2.598,                 0.9335,                0.76573,                0.85011,                0.38642,                 3.9615,                 2.0525,                  4.552,              0.0017525,              0.0017525,              0.0017525
                    127,                 2.2357,                0.98943,                  2.593,                0.90104,                0.66232,                0.74411,                0.40698,                 3.5128,                 2.3136,                 3.9735,              0.0017505,              0.0017505,              0.0017505
                    128,                 2.3415,                 1.0192,                 2.5812,                0.90388,                0.89091,                0.94534,                0.50218,                  3.472,                 1.3961,                 4.1539,              0.0017485,              0.0017485,              0.0017485
                    129,                 2.3671,                 1.0438,                 2.5999,                0.87012,                0.83636,                0.85973,                0.42488,                 3.6555,                 1.6502,                 4.1956,              0.0017466,              0.0017466,              0.0017466
                    130,                 2.3468,                 1.0265,                 2.6691,                0.95415,                0.75679,                0.87505,                0.43345,                 3.7172,                 1.7166,                 4.1771,              0.0017446,              0.0017446,              0.0017446
                    131,                   2.29,                 0.9622,                 2.5913,                0.86558,                0.81959,                0.87652,                0.40606,                 3.9417,                 1.6421,                 4.2531,              0.0017426,              0.0017426,              0.0017426
                    132,                 2.1019,                0.91159,                 2.4517,                0.85562,                0.86207,                0.91758,                0.39997,                 4.2235,                 1.5506,                 4.3411,              0.0017406,              0.0017406,              0.0017406
                    133,                 2.3268,                0.97185,                 2.5521,                 0.9076,                0.87273,                0.93025,                0.49191,                 3.6734,                 1.3546,                 4.2652,              0.0017386,              0.0017386,              0.0017386
                    134,                 2.3251,                0.95497,                 2.5633,                0.74581,                 0.8002,                0.83923,                 0.3918,                 4.0436,                 1.8086,                 4.3155,              0.0017367,              0.0017367,              0.0017367
                    135,                 2.2704,                0.95497,                 2.5205,                0.82161,                0.75373,                0.84562,                0.41791,                 3.4747,                 1.9444,                 4.1852,              0.0017347,              0.0017347,              0.0017347
                    136,                 2.2507,                0.98594,                 2.4731,                0.81209,                0.78581,                0.86501,                 0.4282,                 3.6975,                 1.6109,                 4.2825,              0.0017327,              0.0017327,              0.0017327
                    137,                 2.1758,                0.91654,                 2.4541,                0.87055,                0.94545,                0.92027,                 0.5565,                 3.1736,                 1.4319,                 4.2103,              0.0017307,              0.0017307,              0.0017307
                    138,                  2.159,                0.94954,                 2.4279,                0.79947,                    0.8,                0.85265,                0.48808,                 3.1516,                 1.7037,                 3.9046,              0.0017287,              0.0017287,              0.0017287
