                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    124,                 2.2928,                 1.0028,                 2.6007,                0.90233,                0.89091,                0.93737,                0.51829,                 3.2965,                 1.2761,                 3.8526,              0.0017565,              0.0017565,              0.0017565
                    125,                  2.358,                 1.0369,                 2.5853,                0.91081,                0.85455,                0.91872,                0.52802,                 2.9884,                 1.5924,                 3.7832,              0.0017545,              0.0017545,              0.0017545
                    126,                 2.3048,                  1.021,                 2.5562,                0.86198,                0.89091,                0.94309,                0.46572,                  3.458,                 1.2275,                 4.0708,              0.0017525,              0.0017525,              0.0017525
                    127,                 2.1482,                0.89696,                 2.4423,                0.92551,                0.90372,                0.97173,                0.54696,                 2.9745,                 1.2524,                 3.8007,              0.0017505,              0.0017505,              0.0017505
                    128,                   2.29,                0.99796,                 2.5714,                0.93968,                0.94545,                0.96434,                0.52423,                 3.1795,                  1.238,                 3.7406,              0.0017485,              0.0017485,              0.0017485
                    129,                 2.2883,                0.92373,                 2.5805,                0.87016,                0.97487,                0.97761,                0.57558,                 2.9713,                  1.199,                 3.7994,              0.0017466,              0.0017466,              0.0017466
                    130,                  2.335,                0.96496,                 2.6349,                0.85489,                0.83636,                0.93994,                0.46434,                 3.3781,                 1.2998,                 3.9846,              0.0017446,              0.0017446,              0.0017446
                    131,                 2.2521,                0.93527,                 2.5485,                0.92475,                0.92727,                0.96468,                0.48328,                 3.2878,                 1.3116,                 3.9398,              0.0017426,              0.0017426,              0.0017426
                    132,                 2.2805,                0.96636,                 2.5914,                0.88578,                0.85455,                    0.9,                0.47872,                 3.1194,                  1.414,                 3.9022,              0.0017406,              0.0017406,              0.0017406
                    133,                 2.2441,                0.93757,                 2.5755,                0.85995,                0.85455,                0.88571,                0.45675,                 3.4051,                  1.837,                 3.9211,              0.0017386,              0.0017386,              0.0017386
                    134,                 2.2709,                0.99142,                 2.5838,                0.66667,                    0.8,                0.79493,                0.46158,                 2.9593,                 2.2358,                  3.696,              0.0017367,              0.0017367,              0.0017367
                    135,                 2.2438,                 1.0171,                 2.4674,                0.77944,                0.81818,                0.87726,                 0.5025,                 3.1518,                  2.258,                 3.8137,              0.0017347,              0.0017347,              0.0017347
                    136,                 2.0388,                0.88378,                 2.4423,                0.72395,                0.96364,                0.90173,                0.49497,                 2.8548,                 1.6401,                 3.7349,              0.0017327,              0.0017327,              0.0017327
                    137,                 2.1189,                 0.8577,                 2.4548,                0.83267,                0.94545,                0.94976,                0.51401,                 3.1086,                 1.2454,                   3.92,              0.0017307,              0.0017307,              0.0017307
                    138,                 2.1233,                0.92783,                 2.4516,                0.78042,                0.90472,                0.88796,                0.51272,                 3.0311,                 1.3317,                 3.8136,              0.0017287,              0.0017287,              0.0017287
                    139,                 2.2618,                0.95373,                 2.5015,                0.84911,                0.92092,                0.92049,                0.54005,                 3.1481,                 1.3054,                 3.9236,              0.0017268,              0.0017268,              0.0017268
                    140,                 2.2138,                0.90453,                 2.4455,                0.86274,                0.85455,                0.89686,                0.53019,                 2.9568,                  1.488,                 3.7331,              0.0017248,              0.0017248,              0.0017248
                    141,                 2.2117,                0.91534,                 2.6065,                0.88696,                0.89091,                0.91226,                0.49368,                 3.1854,                 1.4856,                 3.8863,              0.0017228,              0.0017228,              0.0017228
                    142,                 2.1561,                0.96909,                 2.5229,                0.97025,                0.89091,                0.95022,                0.47143,                 3.4776,                 1.4507,                 4.0242,              0.0017208,              0.0017208,              0.0017208
                    143,                   2.27,                0.95305,                 2.5083,                0.75443,                0.89377,                0.91348,                 0.4643,                 3.2699,                 1.5562,                 3.8742,              0.0017188,              0.0017188,              0.0017188
                    144,                 2.1614,                0.86829,                 2.4962,                 0.9053,                    0.8,                0.93864,                0.50751,                 3.1798,                 1.3873,                 4.1657,              0.0017169,              0.0017169,              0.0017169
